Threshold,Method,Question,Precision@5,MRR,Hit@5,nDCG,Avg_Similarity
0.4,SW_50,How many consecutive Drivers' Championships did Michael Schumacher win with Ferrari?,1.0,1.0,1,0.9996249012337968,0.68881464
0.4,SW_20,How many consecutive Drivers' Championships did Michael Schumacher win with Ferrari?,1.0,1.0,1,0.996639750392522,0.67767626
0.4,SW_0,How many consecutive Drivers' Championships did Michael Schumacher win with Ferrari?,1.0,1.0,1,0.9994625321961779,0.641156
0.4,Semantic,How many consecutive Drivers' Championships did Michael Schumacher win with Ferrari?,1.0,1.0,1,0.9985901696674663,0.8034655
0.4,Topic,How many consecutive Drivers' Championships did Michael Schumacher win with Ferrari?,1.0,1.0,1,0.997499877784927,0.6435843
0.4,SW_50,How many consecutive Constructors' Championships did Mercedes win?,1.0,1.0,1,0.994302819465524,0.5613378
0.4,SW_20,How many consecutive Constructors' Championships did Mercedes win?,0.8,1.0,1,0.996743496710496,0.5225576
0.4,SW_0,How many consecutive Constructors' Championships did Mercedes win?,0.8,1.0,1,0.9886073018497024,0.4874862
0.4,Semantic,How many consecutive Constructors' Championships did Mercedes win?,1.0,1.0,1,0.9421052779704308,0.6821933
0.4,Topic,How many consecutive Constructors' Championships did Mercedes win?,0.8,1.0,1,0.9413309194513788,0.52824825
0.4,SW_50,Who won the first Drivers' World Championship?,1.0,1.0,1,0.9977033275071552,0.5138239
0.4,SW_20,Who won the first Drivers' World Championship?,1.0,1.0,1,0.9912361129997682,0.49533814
0.4,SW_0,Who won the first Drivers' World Championship?,0.8,1.0,1,1.0,0.46654707
0.4,Semantic,Who won the first Drivers' World Championship?,0.8,1.0,1,0.8983136190774866,0.54171216
0.4,Topic,Who won the first Drivers' World Championship?,0.6,1.0,1,0.9928186833041689,0.39920884
0.4,SW_50,What major technological development did Bugatti introduce to Formula One?,0.6,1.0,1,0.9767496769950277,0.39670473
0.4,SW_20,What major technological development did Bugatti introduce to Formula One?,0.2,1.0,1,0.9754881228298568,0.34072918
0.4,SW_0,What major technological development did Bugatti introduce to Formula One?,0.4,1.0,1,0.9472867003414921,0.35652414
0.4,Semantic,What major technological development did Bugatti introduce to Formula One?,0.2,1.0,1,1.0,0.44885954
0.4,Topic,What major technological development did Bugatti introduce to Formula One?,0.2,0.2,1,0.9092616073259228,0.3481409
0.4,SW_50,When was the Constructors' Championship added to Formula One?,0.2,1.0,1,0.9890082740445436,0.352415
0.4,SW_20,When was the Constructors' Championship added to Formula One?,0.0,0.0,0,0.9951887401732145,0.35685763
0.4,SW_0,When was the Constructors' Championship added to Formula One?,0.0,0.0,0,0.9975631781892458,0.32500592
0.4,Semantic,When was the Constructors' Championship added to Formula One?,0.4,1.0,1,0.9852886030172484,0.5060317
0.4,Topic,When was the Constructors' Championship added to Formula One?,0.2,0.25,1,0.9207569998990001,0.33598906
0.4,SW_50,When did the FIA ban many electronic driver aids?,0.8,1.0,1,0.9921228899937304,0.517978
0.4,SW_20,When did the FIA ban many electronic driver aids?,1.0,1.0,1,0.9993918527945863,0.5063642
0.4,SW_0,When did the FIA ban many electronic driver aids?,0.8,1.0,1,0.9968129431779446,0.48427868
0.4,Semantic,When did the FIA ban many electronic driver aids?,1.0,1.0,1,0.8959724398582368,0.65757114
0.4,Topic,When did the FIA ban many electronic driver aids?,1.0,1.0,1,0.907618338441634,0.63556576
0.4,SW_50,Which driver is the only woman to win a Formula One race of any kind?,1.0,1.0,1,0.9980967635805971,0.60555536
