Method,BM25_Weight,Semantic_Weight,Question,Precision@5,MRR,Hit@5,nDCG,Avg_Similarity
SW_50,0.3,0.7,When was the inaugural Formula One World Championship season?,0.6,0.5,1,0.9503883755976139,0.61800385
SW_50,0.5,0.5,When was the inaugural Formula One World Championship season?,0.6,1.0,1,0.975836594842273,0.6180038
SW_50,0.7,0.30000000000000004,When was the inaugural Formula One World Championship season?,0.6,0.5,1,0.9140868380449902,0.6302762
SW_20,0.3,0.7,When was the inaugural Formula One World Championship season?,0.2,0.2,1,0.9505315719743824,0.5257618
SW_20,0.5,0.5,When was the inaugural Formula One World Championship season?,0.2,0.25,1,0.9385421254872426,0.5459207
SW_20,0.7,0.30000000000000004,When was the inaugural Formula One World Championship season?,0.2,0.5,1,0.9468655124092652,0.5459207
SW_0,0.3,0.7,When was the inaugural Formula One World Championship season?,0.2,0.5,1,0.9523341317564709,0.5443517
SW_0,0.5,0.5,When was the inaugural Formula One World Championship season?,0.4,0.5,1,0.9262044410015067,0.5760778
SW_0,0.7,0.30000000000000004,When was the inaugural Formula One World Championship season?,0.6,0.5,1,0.9294339279878792,0.59566534
Semantic,0.3,0.7,When was the inaugural Formula One World Championship season?,0.4,0.5,1,0.8682540155079812,0.6520398
Semantic,0.5,0.5,When was the inaugural Formula One World Championship season?,0.4,0.5,1,0.9084577071299995,0.6511418
Semantic,0.7,0.30000000000000004,When was the inaugural Formula One World Championship season?,0.2,1.0,1,0.992359664748496,0.5939295
Topic,0.3,0.7,When was the inaugural Formula One World Championship season?,0.6,0.3333333333333333,1,0.8958481383856968,0.67160785
Topic,0.5,0.5,When was the inaugural Formula One World Championship season?,0.6,1.0,1,0.9971505683356969,0.64833343
Topic,0.7,0.30000000000000004,When was the inaugural Formula One World Championship season?,0.6,1.0,1,0.9961012578395427,0.6483334
SW_50,0.3,0.7,Who won the first Drivers' World Championship?,0.0,0.0,0,0.990362973989998,0.5138239
SW_50,0.5,0.5,Who won the first Drivers' World Championship?,0.0,0.0,0,0.9977033275071552,0.5138239
SW_50,0.7,0.30000000000000004,Who won the first Drivers' World Championship?,0.0,0.0,0,1.0,0.5138239
SW_20,0.3,0.7,Who won the first Drivers' World Championship?,0.0,0.0,0,0.9868497397298133,0.51250976
SW_20,0.5,0.5,Who won the first Drivers' World Championship?,0.0,0.0,0,0.9912361129997682,0.49533814
SW_20,0.7,0.30000000000000004,Who won the first Drivers' World Championship?,0.0,0.0,0,0.9901919741766068,0.5032562
SW_0,0.3,0.7,Who won the first Drivers' World Championship?,0.0,0.0,0,0.9948949972749191,0.4776762
SW_0,0.5,0.5,Who won the first Drivers' World Championship?,0.0,0.0,0,1.0,0.46654707
SW_0,0.7,0.30000000000000004,Who won the first Drivers' World Championship?,0.0,0.0,0,1.0,0.46654707
Semantic,0.3,0.7,Who won the first Drivers' World Championship?,0.2,0.5,1,0.8986346920031477,0.54171216
Semantic,0.5,0.5,Who won the first Drivers' World Championship?,0.2,0.5,1,0.8983136190774866,0.54171216
Semantic,0.7,0.30000000000000004,Who won the first Drivers' World Championship?,0.2,1.0,1,0.9988888903304622,0.54839146
Topic,0.3,0.7,Who won the first Drivers' World Championship?,0.0,0.0,0,0.9491675343687626,0.44401747
Topic,0.5,0.5,Who won the first Drivers' World Championship?,0.0,0.0,0,0.9928186833041689,0.39920884
Topic,0.7,0.30000000000000004,Who won the first Drivers' World Championship?,0.0,0.0,0,0.9928186833041689,0.39920884
SW_50,0.3,0.7,How many championships did Juan Manuel Fangio win?,0.6,1.0,1,0.9942588055688011,0.6423284
SW_50,0.5,0.5,How many championships did Juan Manuel Fangio win?,0.6,1.0,1,0.9942588055688011,0.6423284
SW_50,0.7,0.30000000000000004,How many championships did Juan Manuel Fangio win?,0.6,1.0,1,0.9962926683695437,0.58326745
SW_20,0.3,0.7,How many championships did Juan Manuel Fangio win?,0.6,1.0,1,0.9888395676809679,0.6247829
SW_20,0.5,0.5,How many championships did Juan Manuel Fangio win?,0.4,1.0,1,0.9880566247687098,0.5795144
SW_20,0.7,0.30000000000000004,How many championships did Juan Manuel Fangio win?,0.4,1.0,1,0.9880566247687098,0.5795144
SW_0,0.3,0.7,How many championships did Juan Manuel Fangio win?,0.2,1.0,1,0.9915165523564319,0.53704685
SW_0,0.5,0.5,How many championships did Juan Manuel Fangio win?,0.2,1.0,1,0.9787000404716721,0.5370469
SW_0,0.7,0.30000000000000004,How many championships did Juan Manuel Fangio win?,0.2,1.0,1,0.9567936727045014,0.5370469
Semantic,0.3,0.7,How many championships did Juan Manuel Fangio win?,0.6,1.0,1,0.9713543755353108,0.5904853
Semantic,0.5,0.5,How many championships did Juan Manuel Fangio win?,0.6,1.0,1,0.9444608379288474,0.5904853
Semantic,0.7,0.30000000000000004,How many championships did Juan Manuel Fangio win?,0.4,1.0,1,0.9598098647658576,0.5028191
Topic,0.3,0.7,How many championships did Juan Manuel Fangio win?,0.2,0.3333333333333333,1,0.8737354797813094,0.40508962
Topic,0.5,0.5,How many championships did Juan Manuel Fangio win?,0.2,0.25,1,0.8403099289694292,0.40508968
Topic,0.7,0.30000000000000004,How many championships did Juan Manuel Fangio win?,0.0,0.0,0,0.941766946477296,0.30943927
SW_50,0.3,0.7,When was the Constructors' Championship added to Formula One?,0.0,0.0,0,0.9975339837232504,0.39170426
SW_50,0.5,0.5,When was the Constructors' Championship added to Formula One?,0.0,0.0,0,0.9890082740445436,0.352415
SW_50,0.7,0.30000000000000004,When was the Constructors' Championship added to Formula One?,0.0,0.0,0,0.9921801867172274,0.34654507
SW_20,0.3,0.7,When was the Constructors' Championship added to Formula One?,0.0,0.0,0,0.9318234598271997,0.36591715
SW_20,0.5,0.5,When was the Constructors' Championship added to Formula One?,0.0,0.0,0,0.9951887401732145,0.35685763
SW_20,0.7,0.30000000000000004,When was the Constructors' Championship added to Formula One?,0.0,0.0,0,0.9981813143678331,0.35685766
SW_0,0.3,0.7,When was the Constructors' Championship added to Formula One?,0.0,0.0,0,0.931456882624708,0.3500213
SW_0,0.5,0.5,When was the Constructors' Championship added to Formula One?,0.0,0.0,0,0.9975631781892458,0.32500592
SW_0,0.7,0.30000000000000004,When was the Constructors' Championship added to Formula One?,0.0,0.0,0,0.9788128924216646,0.32500592
Semantic,0.3,0.7,When was the Constructors' Championship added to Formula One?,0.2,1.0,1,0.9848512887976133,0.5060317
Semantic,0.5,0.5,When was the Constructors' Championship added to Formula One?,0.2,1.0,1,0.9852886030172484,0.5060317
Semantic,0.7,0.30000000000000004,When was the Constructors' Championship added to Formula One?,0.2,1.0,1,0.9823079281186539,0.533293
Topic,0.3,0.7,When was the Constructors' Championship added to Formula One?,0.0,0.0,0,0.9157718699096612,0.37086955
Topic,0.5,0.5,When was the Constructors' Championship added to Formula One?,0.0,0.0,0,0.9207569998990001,0.33598906
Topic,0.7,0.30000000000000004,When was the Constructors' Championship added to Formula One?,0.0,0.0,0,0.9238075421777189,0.31715214
SW_50,0.3,0.7,Which driver has the highest winning percentage in Formula One history?,0.8,1.0,1,0.991302446863294,0.61828053
SW_50,0.5,0.5,Which driver has the highest winning percentage in Formula One history?,0.4,1.0,1,0.9944636182225708,0.5462893
SW_50,0.7,0.30000000000000004,Which driver has the highest winning percentage in Formula One history?,0.4,1.0,1,1.0,0.48421463
SW_20,0.3,0.7,Which driver has the highest winning percentage in Formula One history?,0.4,1.0,1,0.9999265485223396,0.5931035
SW_20,0.5,0.5,Which driver has the highest winning percentage in Formula One history?,0.4,1.0,1,0.9798701333854963,0.5740451
SW_20,0.7,0.30000000000000004,Which driver has the highest winning percentage in Formula One history?,0.2,1.0,1,0.9946797709443363,0.45827875
SW_0,0.3,0.7,Which driver has the highest winning percentage in Formula One history?,0.4,1.0,1,0.9921892456151246,0.5695033
SW_0,0.5,0.5,Which driver has the highest winning percentage in Formula One history?,0.2,1.0,1,0.997142113086937,0.47622085
SW_0,0.7,0.30000000000000004,Which driver has the highest winning percentage in Formula One history?,0.2,1.0,1,0.9789172321249254,0.45502138
Semantic,0.3,0.7,Which driver has the highest winning percentage in Formula One history?,0.4,1.0,1,0.9931175128066041,0.5356342
Semantic,0.5,0.5,Which driver has the highest winning percentage in Formula One history?,0.4,1.0,1,0.9931175128066041,0.5356342
Semantic,0.7,0.30000000000000004,Which driver has the highest winning percentage in Formula One history?,0.4,1.0,1,0.9750757286756273,0.5356342
Topic,0.3,0.7,Which driver has the highest winning percentage in Formula One history?,0.2,1.0,1,0.980905498124643,0.45287666
Topic,0.5,0.5,Which driver has the highest winning percentage in Formula One history?,0.2,1.0,1,0.9903282714330741,0.3967274
Topic,0.7,0.30000000000000004,Which driver has the highest winning percentage in Formula One history?,0.2,1.0,1,0.9903282714330741,0.3967274
SW_50,0.3,0.7,What major technological development did Bugatti introduce to Formula One?,0.0,0.0,0,0.9923605724620266,0.39183164
SW_50,0.5,0.5,What major technological development did Bugatti introduce to Formula One?,0.0,0.0,0,0.9767496769950277,0.39670473
SW_50,0.7,0.30000000000000004,What major technological development did Bugatti introduce to Formula One?,0.0,0.0,0,0.9767496769950277,0.39670473
SW_20,0.3,0.7,What major technological development did Bugatti introduce to Formula One?,0.2,1.0,1,0.9754881228298568,0.34072918
SW_20,0.5,0.5,What major technological development did Bugatti introduce to Formula One?,0.2,1.0,1,0.9754881228298568,0.34072918
SW_20,0.7,0.30000000000000004,What major technological development did Bugatti introduce to Formula One?,0.2,1.0,1,0.9754881228298568,0.34072918
SW_0,0.3,0.7,What major technological development did Bugatti introduce to Formula One?,0.0,0.0,0,0.9484681967473982,0.3676548
SW_0,0.5,0.5,What major technological development did Bugatti introduce to Formula One?,0.0,0.0,0,0.9472867003414921,0.35652414
SW_0,0.7,0.30000000000000004,What major technological development did Bugatti introduce to Formula One?,0.0,0.0,0,0.9472867003414921,0.35652414
Semantic,0.3,0.7,What major technological development did Bugatti introduce to Formula One?,0.2,1.0,1,0.9903483169073535,0.4693634
Semantic,0.5,0.5,What major technological development did Bugatti introduce to Formula One?,0.2,1.0,1,1.0,0.44885954
Semantic,0.7,0.30000000000000004,What major technological development did Bugatti introduce to Formula One?,0.2,1.0,1,0.9991279889640552,0.44885954
Topic,0.3,0.7,What major technological development did Bugatti introduce to Formula One?,0.0,0.0,0,0.9582449497173018,0.34814093
Topic,0.5,0.5,What major technological development did Bugatti introduce to Formula One?,0.0,0.0,0,0.9092616073259228,0.3481409
Topic,0.7,0.30000000000000004,What major technological development did Bugatti introduce to Formula One?,0.0,0.0,0,0.9951869158746742,0.30575806
SW_50,0.3,0.7,Who proved the superiority of mid-engined cars in Formula One?,0.4,1.0,1,0.9976231528367006,0.5240923
SW_50,0.5,0.5,Who proved the superiority of mid-engined cars in Formula One?,0.4,1.0,1,0.9965055392167677,0.5113929
SW_50,0.7,0.30000000000000004,Who proved the superiority of mid-engined cars in Formula One?,0.4,1.0,1,1.0,0.42261618
SW_20,0.3,0.7,Who proved the superiority of mid-engined cars in Formula One?,0.2,1.0,1,0.9906086188346543,0.4628356
SW_20,0.5,0.5,Who proved the superiority of mid-engined cars in Formula One?,0.2,1.0,1,0.9722965327067108,0.44342297
SW_20,0.7,0.30000000000000004,Who proved the superiority of mid-engined cars in Formula One?,0.2,1.0,1,0.9797547868679026,0.41315514
SW_0,0.3,0.7,Who proved the superiority of mid-engined cars in Formula One?,0.2,1.0,1,0.9939312894138284,0.45009622
SW_0,0.5,0.5,Who proved the superiority of mid-engined cars in Formula One?,0.2,1.0,1,0.9903395956318194,0.42835623
SW_0,0.7,0.30000000000000004,Who proved the superiority of mid-engined cars in Formula One?,0.2,1.0,1,0.963775308409745,0.42835626
Semantic,0.3,0.7,Who proved the superiority of mid-engined cars in Formula One?,0.2,0.3333333333333333,1,0.8269803782283047,0.53202903
Semantic,0.5,0.5,Who proved the superiority of mid-engined cars in Formula One?,0.2,0.3333333333333333,1,0.8586522461359588,0.53202903
Semantic,0.7,0.30000000000000004,Who proved the superiority of mid-engined cars in Formula One?,0.2,0.3333333333333333,1,0.8563263171111354,0.51235586
Topic,0.3,0.7,Who proved the superiority of mid-engined cars in Formula One?,0.2,1.0,1,0.9743545899199246,0.5263112
